semantic_id,tune_id,signed_pdg,component,quantity,unit,value_hex,status,uncertainty_status
e0f9c2bf6fa7bbee202dda8adbf3e0a03936c665c770fbc94a817ed1a475b82e,MONASH,-4122,hadron_count,raw_count,count,0x1.1156280000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
cebdb0a0146832b70af725f30410e6f8c6e470885ca21d932df27bc55a9c00c6,CLOSEPACKING,-4122,hadron_count,raw_weighted_sum,weighted_count,0x1.4903100000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
7a92c2e61321d6960bfc1521e8f5aec5f1402cae97a3fedc322e784a4c3d7c81,JUNCTIONS,-4122,hadron_count,raw_weighted_sum,weighted_count,0x1.7fc6180000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
435cf7fc290e99f738bc96de2c1a7966037fbef20f7b14c52de183f774192f0c,MONASH,-4122,hadron_count,raw_weighted_sum,weighted_count,0x1.1156280000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
fee5e2d3c61f7c9680b664d5643de03405bcf3445b68c2b57930902707237248,CLOSEPACKING,-413,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
5a8a5bca0dbca8dfb87c0fda73fea68a5dc2731343240edda9ff3ef1462ef8b0,JUNCTIONS,-413,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
47fa0ea391bdc2debfcc0822287b819a583a0daaf2abba7293557fac2c8231c4,MONASH,-413,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
6acbdfb4e29c15d58720c5792a4305d158b41cb2fded433d73508c7aaa346cbf,CLOSEPACKING,-413,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
e2daace9c14a8daaa81836059958446d19a3ca39be989b2d7f80fe953b7e76e2,JUNCTIONS,-413,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
3ef51fc72c73adf582b92f27792cbaeb7b03d4078cbcff57d1efb7adea08450b,MONASH,-413,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
1ad3c734acc16c8aaac309cd728387aed2bd61ad4b8b8c7561c2877a5395dd0e,CLOSEPACKING,-413,charm_plus_anticharm_constituent_count,raw_count,count,0x1.03ab6e0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
7d0ec225048b7de0f3d334395a006c6d276b02cd1774d3803978a81607bdb398,JUNCTIONS,-413,charm_plus_anticharm_constituent_count,raw_count,count,0x1.07e51d0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
204cb74432f2de9d06c2f5447e0464aa57e4aced8d88ed2dcc31612d7bf3018f,MONASH,-413,charm_plus_anticharm_constituent_count,raw_count,count,0x1.2de8010000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
f06f53eebc91f470b2bfb41ff94e7415bd6b5091739c6dab278c42c5c5cd47eb,CLOSEPACKING,-413,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.03ab6e0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
db28d4406f85617a649686914d7f3391f51b4630a7413e26e4f9fec10b2c9cac,JUNCTIONS,-413,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.07e51d0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
88874eb91e4c8844ad8d3915368928dc03b91014e21e5d454f8547348583e52b,MONASH,-413,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.2de8010000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
b5cf3934d8929289019ad2e514e7876007cd8d7dcebe87662b90897bf984f827,CLOSEPACKING,-413,hadron_count,normalized_yield,per_event,0x1.5c85cfb83997dp-3,AVAILABLE,AVAILABLE
20332498d8cb380a9592cbd0abcc45225fd87570ac82eabb4b1e8e5a0ea0c223,JUNCTIONS,-413,hadron_count,normalized_yield,per_event,0x1.62319f5f5651cp-3,AVAILABLE,AVAILABLE
f03d9a039ac15504de5189004ed7285e5352016164302497447d9205efca7350,MONASH,-413,hadron_count,normalized_yield,per_event,0x1.953633ee99fc1p-3,AVAILABLE,AVAILABLE
859308872d2b2c5535a263030e63080566fdd732b92675f4543c958fab28f78e,CLOSEPACKING,-413,hadron_count,raw_count,count,0x1.03ab6e0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
b54b97bcc52ba8c297505fc24f5d9400c28dabbee6b7c217af94affee2aa3e4f,JUNCTIONS,-413,hadron_count,raw_count,count,0x1.07e51d0000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
a6b45d4c3b758fdd4e025c6f4944d27eb345d587c6e04ede7f6aae4398461aaf,MONASH,-413,hadron_count,raw_count,count,0x1.2de8010000000p+24,AVAILABLE,WITHHELD_UNCERTAINTY
