tune,flavour,trigger,associate,context,activity_id,bin_index,dphi_low,dphi_high,value,stat_error,status
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,29,0.18849579999999966,0.2513276499999997,5.117599635458656e-05,9.9773619084118281e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,30,0.2513276499999997,0.3141594999999997,5.6784324722212482e-05,6.8994031732198245e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,31,0.3141594999999997,0.3769913499999997,6.1691612043885167e-05,8.0334962624898023e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,32,0.3769913499999997,0.43982319999999975,6.8000981457464331e-05,6.7867873974179327e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,33,0.43982319999999975,0.50265505,7.1506186687230537e-05,1.236760385271695e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,34,0.50265505,0.5654868999999998,8.9032212836061557e-05,9.7614901251875231e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,35,0.5654868999999998,0.62831875,8.1320761330575908e-05,8.7953955163925523e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,36,0.62831875,0.6911505999999998,9.6743664341547193e-05,1.2949393760549515e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,37,0.6911505999999998,0.7539824499999996,0.00010585719793893933,7.7384068597213687e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,38,0.7539824499999996,0.8168142999999999,0.00013740404500683516,7.6214574151160537e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,39,0.8168142999999999,0.8796461499999997,0.00016053839952329208,1.1828554038925506e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,40,0.8796461499999997,0.9424779999999999,0.00017596130253426338,1.2536587270289735e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,41,0.9424779999999999,1.0053098499999993,0.00017876546671807635,1.0190091930172837e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,42,1.0053098499999993,1.0681416999999995,0.00025658102281888602,1.5542382129131883e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,43,1.0681416999999995,1.1309735499999998,0.00027410704896771708,1.5520806967160324e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,44,1.1309735499999998,1.1938053999999996,0.00034070594833327493,1.4616436448693562e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,45,1.1938053999999996,1.2566372499999998,0.00038346945213642259,1.4765868951423945e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,46,1.2566372499999998,1.3194690999999996,0.00045637772091555961,1.9580607721147154e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,47,1.3194690999999996,1.3823009499999999,0.00050965684040800592,1.6844503680372563e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,48,1.3823009499999999,1.4451327999999997,0.00059448280696834806,2.0754882962334312e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,49,1.4451327999999997,1.50796465,0.0005972869711521609,2.2785442833003278e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,50,1.50796465,1.5707964999999997,0.0007206701952399314,1.4018667354765933e-05,available_central_sem_only
