flavour,trigger,associate,tune,class,nominal_yield,combined_percent,combined_absolute,source,abs_delta_percent,sem_percent,contribution_percent,quoted_arm,dropped
CHARM,D^{+},D-,JUNCTIONS,c7,0.16994595377414595,9.4168634876178814,0.016003578469641514,S2_pdf,1.1726985726265353,0.628064979428819,1.1726985726265353,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c7,0.16994595377414595,9.4168634876178814,0.016003578469641514,S3_pthat,8.6480706951023176,0.52807401561571143,8.6480706951023176,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c7,0.16994595377414595,9.4168634876178814,0.016003578469641514,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c8,0.17049315934347706,8.2094418144016696,0.013996536713837873,S1a_mur,1.0147969280054614,0.53495533338649159,1.0147969280054614,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,JUNCTIONS,c8,0.17049315934347706,8.2094418144016696,0.013996536713837873,S1b_muf,3.4604559380808144,1.1547147367495623,3.4604559380808144,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c8,0.17049315934347706,8.2094418144016696,0.013996536713837873,S2_pdf,1.0822483145847457,1.0368685830911741,1.0822483145847457,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c8,0.17049315934347706,8.2094418144016696,0.013996536713837873,S3_pthat,7.3749824948645459,0.71435003374066675,7.3749824948645459,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c8,0.17049315934347706,8.2094418144016696,0.013996536713837873,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c9,0.16943013704846618,8.3419215595587097,0.014133729130835871,S1a_mur,1.199823707250093,0.5565044890409846,1.199823707250093,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,JUNCTIONS,c9,0.16943013704846618,8.3419215595587097,0.014133729130835871,S1b_muf,5.4517237089240895,1.0865409659395966,5.4517237089240895,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c9,0.16943013704846618,8.3419215595587097,0.014133729130835871,S2_pdf,1.0241017794666778,0.52934910323621653,1.0241017794666778,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c9,0.16943013704846618,8.3419215595587097,0.014133729130835871,S3_pthat,6.1989343421999585,1.0020613334483046,6.1989343421999585,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c9,0.16943013704846618,8.3419215595587097,0.014133729130835871,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c10,0.17301576922512349,6.5116921189202461,0.011266254209121607,S1a_mur,0.41774760090396118,0.7256299770273793,0.7256299770273793,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c10,0.17301576922512349,6.5116921189202461,0.011266254209121607,S1b_muf,4.4829617610082115,1.4192275719885157,4.4829617610082115,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c10,0.17301576922512349,6.5116921189202461,0.011266254209121607,S2_pdf,0.44086688082807335,0.98555426136908897,0.98555426136908897,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c10,0.17301576922512349,6.5116921189202461,0.011266254209121607,S3_pthat,4.6667600364048543,0.94384144309845719,4.6667600364048543,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c10,0.17301576922512349,6.5116921189202461,0.011266254209121607,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c11,0.17949352659255807,7.5868164753709557,0.013617844447748544,S1a_mur,0.90171864316424466,1.3661254160993681,1.3661254160993681,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c11,0.17949352659255807,7.5868164753709557,0.013617844447748544,S1b_muf,6.8684780122611215,1.3581841134495884,6.8684780122611215,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c11,0.17949352659255807,7.5868164753709557,0.013617844447748544,S2_pdf,1.7084329729165912,1.0675172660801708,1.7084329729165912,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c11,0.17949352659255807,7.5868164753709557,0.013617844447748544,S3_pthat,2.9184748368853577,0.84629892310295074,2.9184748368853577,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c11,0.17949352659255807,7.5868164753709557,0.013617844447748544,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,MB,0.17397376578825971,6.1506866411152128,0.010700581171383559,S1a_mur,0.24358028139452806,0.18786873916513894,0.24358028139452806,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,MB,0.17397376578825971,6.1506866411152128,0.010700581171383559,S1b_muf,1.4359832934701404,0.24588428451929553,1.4359832934701404,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,MB,0.17397376578825971,6.1506866411152128,0.010700581171383559,S2_pdf,0.17257441682656446,0.27446242566158902,0.27446242566158902,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,MB,0.17397376578825971,6.1506866411152128,0.010700581171383559,S3_pthat,5.9757482196444283,0.28600588089648699,5.9757482196444283,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,MB,0.17397376578825971,6.1506866411152128,0.010700581171383559,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,MONASH,c1,0.18888156367519388,6.0421951175733897,0.011412592618378839,S1a_mur,0.98080704074411185,0.51811796121467468,0.98080704074411185,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,MONASH,c1,0.18888156367519388,6.0421951175733897,0.011412592618378839,S1b_muf,1.6770105104810111,0.35588603498640764,1.6770105104810111,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,MONASH,c1,0.18888156367519388,6.0421951175733897,0.011412592618378839,S2_pdf,1.4106386419947048,0.69573553008712208,1.4106386419947048,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,MONASH,c1,0.18888156367519388,6.0421951175733897,0.011412592618378839,S3_pthat,5.7213438225115176,0.58089980352657344,5.7213438225115176,HF_SYS_PTHAT_1,no
CHARM,D^{+},D-,MONASH,c1,0.18888156367519388,6.0421951175733897,0.011412592618378839,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,MONASH,c2,0.18785416730127172,6.2208762153978183,0.011686175213278438,S1a_mur,1.2526564276308119,0.69066342998091457,1.2526564276308119,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,MONASH,c2,0.18785416730127172,6.2208762153978183,0.011686175213278438,S1b_muf,0.99820372803569868,0.62555587816198244,0.99820372803569868,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,MONASH,c2,0.18785416730127172,6.2208762153978183,0.011686175213278438,S2_pdf,0.26412365953851408,0.77095091691050299,0.77095091691050299,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,MONASH,c2,0.18785416730127172,6.2208762153978183,0.011686175213278438,S3_pthat,6.0111348411887358,0.63508217257607336,6.0111348411887358,HF_SYS_PTHAT_1,no
CHARM,D^{+},D-,MONASH,c2,0.18785416730127172,6.2208762153978183,0.011686175213278438,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,MONASH,c3,0.18851263580401678,5.8360279013265588,0.011001650023048539,S1a_mur,1.2649739864100837,0.38936668743420666,1.2649739864100837,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,MONASH,c3,0.18851263580401678,5.8360279013265588,0.011001650023048539,S1b_muf,1.2780916174171326,0.5551683923706936,1.2780916174171326,HF_SYS_MUF_UP,no
CHARM,D^{+},D-,MONASH,c3,0.18851263580401678,5.8360279013265588,0.011001650023048539,S2_pdf,0.25177930486856914,0.3918323599382198,0.3918323599382198,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,MONASH,c3,0.18851263580401678,5.8360279013265588,0.011001650023048539,S3_pthat,5.552075674579366,0.52543983856565391,5.552075674579366,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,MONASH,c3,0.18851263580401678,5.8360279013265588,0.011001650023048539,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,MONASH,c4,0.19036151307874749,6.0114626751991125,0.011443511306673182,S1a_mur,1.0976414756632846,0.44485008633919615,1.0976414756632846,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,MONASH,c4,0.19036151307874749,6.0114626751991125,0.011443511306673182,S1b_muf,1.7637562469670924,0.69850606001450311,1.7637562469670924,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,MONASH,c4,0.19036151307874749,6.0114626751991125,0.011443511306673182,S2_pdf,0.96263519427609401,0.88093122974311444,0.96263519427609401,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,MONASH,c4,0.19036151307874749,6.0114626751991125,0.011443511306673182,S3_pthat,5.6411018947986005,1.1649920168790142,5.6411018947986005,HF_SYS_PTHAT_4,no
